aprtfEtryptDt,total,MB,MK,MS
2022012109,43,22.34356874786762,7.486978278175822,13.169452973956556
2022012109,194,100.80586830433299,33.77846013874673,59.41567155692027
2022012107,8425,4377.780620948482,1466.9253952007277,2580.29398385079
2022012109,7683,3992.2241555783007,1337.7314909587171,2353.0443534629817
2022012109,16575,8612.666325486181,2885.9689525759127,5076.3647219379045
2022012107,7747,4025.479699761174,1348.8749004890253,2372.6453997498006
2022012109,75590,39277.91538723985,13161.411349937449,23150.6732628227
2022012101,107711,55968.56124189696,18754.184123734787,32988.25463436825
2022012108,2517,1307.8781985670419,438.24940293415216,770.8723984988059
2022012101,2457,1276.7011258955988,427.8024564994882,752.496417604913
2022012109,7170,3725.6601842374616,1248.4100989423405,2195.929716820198
2022012109,1998,1038.1965199590584,347.8833162743091,611.9201637666325
2022012107,4416,2294.632548618219,768.8952575912657,1352.4721937905151
2022012105,8277,4300.877175025588,1441.15626066189,2534.9665643125213
2022012102,9858,5122.393039918116,1716.4332992152847,3019.1736608665983
2022012107,9924,5156.687819856704,1727.9249402934151,3039.38723984988
2022012106,9997,5194.6199249402935,1740.635391788923,3061.7446832707833
2022012109,1501,779.9464346639372,261.3477766405095,459.7057886955532
2022012108,4015,2086.265779597407,699.0748322529284,1229.6593881496644
2022012108,3560,1849.839645172296,619.8521551233936,1090.3081997043103
2022012102,996,517.539406345957,173.41931081542134,305.0412828386216
2022012109,40839,21220.67451381781,7110.714090754009,12507.611395428181
2022012108,15946,8285.826680313887,2776.4501307858523,4883.723188900261
2022012107,74962,38951.59535994541,13052.0666439213,22958.337996133287
2022012105,95681,49717.558171272605,16659.57136358467,29303.870465142725
2022012106,329,170.95428181508018,57.28408961674059,100.76162856817923
2022012105,579,300.8587512794268,100.81303309450699,177.32821562606617
2022012103,535,277.9955646537018,93.1519390424201,163.85249630387807
2022012104,144,74.82497441146367,25.07267144319345,44.102354145342886
2022012102,355,184.46434663937222,61.81109973842829,108.72455362219947
2022012107,4416,2294.632548618219,768.8952575912657,1352.4721937905151
2022012101,0,0.0,0.0,0.0
2022012102,0,0.0,0.0,0.0
2022012103,0,0.0,0.0,0.0
2022012104,0,0.0,0.0,0.0
2022012105,0,0.0,0.0,0.0
2022012106,0,0.0,0.0,0.0
2022012107,0,0.0,0.0,0.0
2022012108,0,0.0,0.0,0.0
2022012109,0,0.0,0.0,0.0
2022012110,0,0.0,0.0,0.0
2022012111,0,0.0,0.0,0.0
2022012112,0,0.0,0.0,0.0
2022012113,0,0.0,0.0,0.0
2022012114,0,0.0,0.0,0.0
2022012115,0,0.0,0.0,0.0
2022012116,0,0.0,0.0,0.0
2022012117,0,0.0,0.0,0.0
2022012118,0,0.0,0.0,0.0
2022012119,0,0.0,0.0,0.0
2022012120,0,0.0,0.0,0.0
2022012121,0,0.0,0.0,0.0
2022012122,0,0.0,0.0,0.0
2022012123,0,0.0,0.0,0.0
2022012124,0,0.0,0.0,0.0
