dateTime,93_71,93_72,93_73,93_74,94_71,94_72,94_73,94_74,95_71,95_72,95_73,95_74,96_71,96_72,96_73,96_74,97_71,97_72,97_73,97_74
2022011921,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022011922,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022011923,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022011924,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012001,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012002,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012003,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012004,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012005,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012006,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012007,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012008,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012009,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012010,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012011,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012012,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012013,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012014,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012015,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
2022012016,,0,0,0,,0,0,0,,,0,0,,,0,0,,,0,0
