dateTime,93_71,93_72,93_73,93_74,94_71,94_72,94_73,94_74,95_71,95_72,95_73,95_74,96_71,96_72,96_73,96_74,97_71,97_72,97_73,97_74
2022011921,,52,56,56,,52,52,56,,,60,60,,,58,58,,,58,58
2022011922,,52,53,53,,52,52,53,,,63,63,,,62,61,,,62,62
2022011923,,50,52,52,,50,50,52,,,53,53,,,51,50,,,51,51
2022011924,,46,48,48,,46,46,48,,,53,53,,,51,49,,,51,51
2022012001,,44,46,46,,44,44,46,,,53,53,,,53,52,,,53,53
2022012002,,49,57,57,,49,49,57,,,50,50,,,50,49,,,50,50
2022012003,,51,50,50,,51,51,50,,,54,54,,,53,49,,,53,53
2022012004,,48,42,42,,48,48,42,,,54,54,,,53,53,,,53,53
2022012005,,46,52,52,,46,46,52,,,53,53,,,52,50,,,52,52
2022012006,,44,63,63,,44,44,63,,,57,57,,,53,51,,,53,53
2022012007,,46,60,60,,46,46,60,,,56,56,,,53,50,,,53,53
2022012008,,42,48,48,,42,42,48,,,51,51,,,51,50,,,51,51
2022012009,,46,40,40,,46,46,40,,,48,48,,,43,47,,,43,43
2022012010,,44,36,36,,44,44,36,,,43,43,,,38,44,,,38,38
2022012011,,44,34,34,,44,44,34,,,39,39,,,35,38,,,35,35
2022012012,,39,30,30,,39,39,30,,,33,33,,,32,33,,,32,32
2022012013,,36,21,21,,36,36,21,,,29,29,,,28,30,,,28,28
2022012014,,30,20,20,,30,30,20,,,27,27,,,26,26,,,26,26
2022012015,,28,21,21,,28,28,21,,,24,24,,,26,23,,,26,26
2022012016,,32,21,21,,32,32,21,,,22,22,,,26,22,,,26,26
