dateTime,93_71,93_72,93_73,93_74,94_71,94_72,94_73,94_74,95_71,95_72,95_73,95_74,96_71,96_72,96_73,96_74,97_71,97_72,97_73,97_74
2022011921,,4.1,3.5,3.5,,4.1,4.1,3.5,,,3.6,3.6,,,3.3,2.6,,,3.3,3.3
2022011922,,3.6,2.7,2.7,,3.6,3.6,2.7,,,1.7,1.7,,,2.4,1.5,,,2.4,2.4
2022011923,,2.4,2.1,2.1,,2.4,2.4,2.1,,,2,2,,,1.8,1.1,,,1.8,1.8
2022011924,,1.4,1.2,1.2,,1.4,1.4,1.2,,,1.6,1.6,,,1.2,0.7,,,1.2,1.2
2022012001,,0.2,-0.2,-0.2,,0.2,0.2,-0.2,,,-0.1,-0.1,,,0.1,-0.7,,,0.1,0.1
2022012002,,-0.9,-2,-2,,-0.9,-0.9,-2,,,-1.3,-1.3,,,-1.2,-1.8,,,-1.2,-1.2
2022012003,,-1.3,-1.4,-1.4,,-1.3,-1.3,-1.4,,,-1.9,-1.9,,,-2,-2.5,,,-2,-2
2022012004,,-1.9,-1.9,-1.9,,-1.9,-1.9,-1.9,,,-2.7,-2.7,,,-2.5,-3.2,,,-2.5,-2.5
2022012005,,-2.4,-4,-4,,-2.4,-2.4,-4,,,-3,-3,,,-2.9,-3.6,,,-2.9,-2.9
2022012006,,-2.3,-5.4,-5.4,,-2.3,-2.3,-5.4,,,-3.7,-3.7,,,-3.3,-3.9,,,-3.3,-3.3
2022012007,,-1.9,-5.3,-5.3,,-1.9,-1.9,-5.3,,,-3.3,-3.3,,,-2.7,-3.9,,,-2.7,-2.7
2022012008,,-0.1,-1.5,-1.5,,-0.1,-0.1,-1.5,,,-1.7,-1.7,,,-0.1,-3.2,,,-0.1,-0.1
2022012009,,0.8,0.8,0.8,,0.8,0.8,0.8,,,-0.9,-0.9,,,2.2,-2,,,2.2,2.2
2022012010,,2.2,3.1,3.1,,2.2,2.2,3.1,,,1.5,1.5,,,4.6,-0.4,,,4.6,4.6
2022012011,,2.5,3.8,3.8,,2.5,2.5,3.8,,,3.4,3.4,,,4.3,1.7,,,4.3,4.3
2022012012,,4.5,4.4,4.4,,4.5,4.5,4.4,,,4.6,4.6,,,6.2,3.5,,,6.2,6.2
2022012013,,5.1,5.3,5.3,,5.1,5.1,5.3,,,5.2,5.2,,,7.4,4.1,,,7.4,7.4
2022012014,,6,5.6,5.6,,6,6,5.6,,,6,6,,,7.5,5.1,,,7.5,7.5
2022012015,,6.4,6,6,,6.4,6.4,6,,,5.8,5.8,,,7.1,5,,,7.1,7.1
2022012016,,5.4,5.4,5.4,,5.4,5.4,5.4,,,5.3,5.3,,,7.3,4.6,,,7.3,7.3
