dateTime,93_71,93_72,93_73,93_74,94_71,94_72,94_73,94_74,95_71,95_72,95_73,95_74,96_71,96_72,96_73,96_74,97_71,97_72,97_73,97_74
2022011921,,277,327,327,,277,277,327,,,317,317,,,286,304,,,286,286
2022011922,,279,321,321,,279,279,321,,,329,329,,,261,293,,,261,261
2022011923,,303,326,326,,303,303,326,,,309,309,,,302,306,,,302,302
2022011924,,307,325,325,,307,307,325,,,305,305,,,282,308,,,282,282
2022012001,,305,352,352,,305,305,352,,,313,313,,,317,315,,,317,317
2022012002,,308,350,350,,308,308,350,,,322,322,,,12,314,,,12,12
2022012003,,301,312,312,,301,301,312,,,323,323,,,318,319,,,318,318
2022012004,,300,300,300,,300,300,300,,,313,313,,,303,312,,,303,303
2022012005,,306,104,104,,306,306,104,,,327,327,,,314,308,,,314,314
2022012006,,317,89,89,,317,317,89,,,318,318,,,312,323,,,312,312
2022012007,,309,29,29,,309,309,29,,,324,324,,,323,311,,,323,323
2022012008,,291,72,72,,291,291,72,,,318,318,,,51,307,,,51,51
2022012009,,289,240,240,,289,289,240,,,309,309,,,49,312,,,49,49
2022012010,,232,266,266,,232,232,266,,,303,303,,,56,307,,,56,56
2022012011,,277,242,242,,277,277,242,,,295,295,,,334,308,,,334,334
2022012012,,272,240,240,,272,272,240,,,311,311,,,15,314,,,15,15
2022012013,,277,54,54,,277,277,54,,,315,315,,,75,307,,,75,75
2022012014,,271,60,60,,271,271,60,,,326,326,,,11,317,,,11,11
2022012015,,271,59,59,,271,271,59,,,329,329,,,22,311,,,22,22
2022012016,,282,355,355,,282,282,355,,,312,312,,,19,315,,,19,19
