dateTime,93_71,93_72,93_73,93_74,94_71,94_72,94_73,94_74,95_71,95_72,95_73,95_74,96_71,96_72,96_73,96_74,97_71,97_72,97_73,97_74
2022011921,,-1,-2.8,-2.8,,-1,-1,-2.8,,,-2.8,-2.8,,,-1.2,-2.6,,,-1.2,-1.2
2022011922,,-1.2,-2.1,-2.1,,-1.2,-1.2,-2.1,,,-2,-2,,,0.7,-0.6,,,0.7,0.7
2022011923,,-3.6,-2.7,-2.7,,-3.6,-3.6,-2.7,,,-2.6,-2.6,,,-1.7,-2.7,,,-1.7,-1.7
2022011924,,-5,-2.1,-2.1,,-5,-5,-2.1,,,-2.3,-2.3,,,-0.8,-2.2,,,-0.8,-0.8
2022012001,,-4,-2.9,-2.9,,-4,-4,-2.9,,,-2.6,-2.6,,,-2.4,-2.9,,,-2.4,-2.4
2022012002,,-1.9,-1.1,-1.1,,-1.9,-1.9,-1.1,,,-2.8,-2.8,,,-4.2,-3.5,,,-4.2,-4.2
2022012003,,-3.3,-2.2,-2.2,,-3.3,-3.3,-2.2,,,-2.4,-2.4,,,-3.2,-4.3,,,-3.2,-3.2
2022012004,,-2.7,-1.4,-1.4,,-2.7,-2.7,-1.4,,,-2,-2,,,-2.2,-2.7,,,-2.2,-2.2
2022012005,,-2,0.3,0.3,,-2,-2,0.3,,,-3,-3,,,-3.3,-2,,,-3.3,-3.3
2022012006,,-2.2,0,0,,-2.2,-2.2,0,,,-1.2,-1.2,,,-2.9,-2.4,,,-2.9,-2.9
2022012007,,-1.7,-0.5,-0.5,,-1.7,-1.7,-0.5,,,-1.8,-1.8,,,-2.1,-2.1,,,-2.1,-2.1
2022012008,,-0.3,-0.2,-0.2,,-0.3,-0.3,-0.2,,,-2.6,-2.6,,,-1.9,-2.2,,,-1.9,-1.9
2022012009,,-0.7,0.7,0.7,,-0.7,-0.7,0.7,,,-2.6,-2.6,,,-1.9,-2.4,,,-1.9,-1.9
2022012010,,1.4,0.1,0.1,,1.4,1.4,0.1,,,-1.6,-1.6,,,-1.3,-1.8,,,-1.3,-1.3
2022012011,,-0.2,0.9,0.9,,-0.2,-0.2,0.9,,,-1.2,-1.2,,,-2.6,-1,,,-2.6,-2.6
2022012012,,0,1.1,1.1,,0,0,1.1,,,-2.3,-2.3,,,-1.4,-0.8,,,-1.4,-1.4
2022012013,,-0.4,-1.2,-1.2,,-0.4,-0.4,-1.2,,,-2.6,-2.6,,,-0.3,-1.6,,,-0.3,-0.3
2022012014,,0,-1.3,-1.3,,0,0,-1.3,,,-2,-2,,,-1.8,-1.1,,,-1.8,-1.8
2022012015,,0,-1,-1,,0,0,-1,,,-1.8,-1.8,,,-1.3,-0.2,,,-1.3,-1.3
2022012016,,-0.5,-1,-1,,-0.5,-0.5,-1,,,-2,-2,,,-1.6,-0.8,,,-1.6,-1.6
