dateTime,93_71,93_72,93_73,93_74,94_71,94_72,94_73,94_74,95_71,95_72,95_73,95_74,96_71,96_72,96_73,96_74,97_71,97_72,97_73,97_74
2022011921,,8.2,3.5,3.5,,8.2,8.2,3.5,,,3.9,3.9,,,4.6,4.9,,,4.6,4.6
2022011922,,8,2.9,2.9,,8,8,2.9,,,2.4,2.4,,,4.7,1.8,,,4.7,4.7
2022011923,,6.7,3.4,3.4,,6.7,6.7,3.4,,,4.3,4.3,,,3.5,4.8,,,3.5,3.5
2022011924,,8.4,2.7,2.7,,8.4,8.4,2.7,,,4.1,4.1,,,4.4,3.8,,,4.4,4.4
2022012001,,7.2,3,3,,7.2,7.2,3,,,4,4,,,3.4,4.3,,,3.4,3.4
2022012002,,3.2,1.2,1.2,,3.2,3.2,1.2,,,3.7,3.7,,,4.4,5.2,,,4.4,4.4
2022012003,,6.6,3.5,3.5,,6.6,6.6,3.5,,,3.2,3.2,,,4.5,5.9,,,4.5,4.5
2022012004,,5.6,3,3,,5.6,5.6,3,,,3.1,3.1,,,4.3,4.1,,,4.3,4.3
2022012005,,3.5,1.1,1.1,,3.5,3.5,1.1,,,3.7,3.7,,,4.9,3.4,,,4.9,4.9
2022012006,,3.2,1.2,1.2,,3.2,3.2,1.2,,,1.7,1.7,,,4.5,3.1,,,4.5,4.5
2022012007,,2.9,0.7,0.7,,2.9,2.9,0.7,,,2.4,2.4,,,2.7,3.4,,,2.7,2.7
2022012008,,1.2,1.1,1.1,,1.2,1.2,1.1,,,3.6,3.6,,,3.1,3.8,,,3.1,3.1
2022012009,,2.6,1.3,1.3,,2.6,2.6,1.3,,,4.4,4.4,,,3,3.7,,,3,3
2022012010,,2.3,1.2,1.2,,2.3,2.3,1.2,,,3.2,3.2,,,2.5,3.2,,,2.5,2.5
2022012011,,2.6,1.9,1.9,,2.6,2.6,1.9,,,3.2,3.2,,,3,1.8,,,3,3
2022012012,,4.1,2.3,2.3,,4.1,4.1,2.3,,,3.7,3.7,,,1.6,1.3,,,1.6,1.6
2022012013,,3.7,2.3,2.3,,3.7,3.7,2.3,,,3.8,3.8,,,1.6,2.9,,,1.6,1.6
2022012014,,2.5,2.8,2.8,,2.5,2.5,2.8,,,2.5,2.5,,,1.9,1.7,,,1.9,1.9
2022012015,,2.3,2.1,2.1,,2.3,2.3,2.1,,,2.2,2.2,,,1.5,0.4,,,1.5,1.5
2022012016,,2.9,1.1,1.1,,2.9,2.9,1.1,,,3.1,3.1,,,1.8,1.3,,,1.8,1.8
