dataTime,UUU,VVV,VEC,WSD,PTY,REH,RN1,T1H,nx,ny
2022011921,1.9,-2.8,327,3.5,0,56,0,3.5,94,74
2022011922,1.8,-2.1,321,2.9,0,53,0,2.7,94,74
2022011923,1.9,-2.7,326,3.4,0,52,0,2.1,94,74
2022011924,1.6,-2.1,325,2.7,0,48,0,1.2,94,74
2022012001,0.4,-2.9,352,3,0,46,0,-0.2,94,74
2022012002,0.2,-1.1,350,1.2,0,57,0,-2,94,74
2022012003,2.6,-2.2,312,3.5,0,50,0,-1.4,94,74
2022012004,2.6,-1.4,300,3,0,42,0,-1.9,94,74
2022012005,-1,0.3,104,1.1,0,52,0,-4,94,74
2022012006,-1.1,0,89,1.2,0,63,0,-5.4,94,74
2022012007,-0.2,-0.5,29,0.7,0,60,0,-5.3,94,74
2022012008,-0.9,-0.2,72,1.1,0,48,0,-1.5,94,74
2022012009,1.1,0.7,240,1.3,0,40,0,0.8,94,74
2022012010,1.2,0.1,266,1.2,0,36,0,3.1,94,74
2022012011,1.7,0.9,242,1.9,0,34,0,3.8,94,74
2022012012,2,1.1,240,2.3,0,30,0,4.4,94,74
2022012013,-1.8,-1.2,54,2.3,0,21,0,5.3,94,74
2022012014,-2.3,-1.3,60,2.8,0,20,0,5.6,94,74
2022012015,-1.7,-1,59,2.1,0,21,0,6,94,74
2022012016,0.1,-1,355,1.1,0,21,0,5.4,94,74
